player,opponent,games_against,wins_against,win_rate_against
faBBenWh  y,tjdubya21,13,4,0.3076923076923077
ko!,Ascended!,12,6,0.5
ko!,Bloom,13,4,0.3076923076923077
ko!,Boydardi,4,3,0.75
ko!,Car-.-,15,3,0.2
ko!,Cimino,3,0,0.0
ko!,FBISSsosa,3,0,0.0
ko!,Faith,13,7,0.5384615384615384
ko!,Geo,3,3,1.0
ko!,Goose,19,11,0.5789473684210527
ko!,IceCreamBev,1,0,0.0
ko!,ItsDaaes,3,3,1.0
ko!,JCISK,8,2,0.25
ko!,Maples,6,3,0.5
ko!,Mateo,5,3,0.6
ko!,MtnDru,3,0,0.0
ko!,Nem,7,3,0.42857142857142855
ko!,Ziyor,3,3,1.0
ko!,bass!,6,4,0.6666666666666666
ko!,brokeboy,3,0,0.0
ko!,nIMBUSXNZ^^,20,12,0.6
ko!,shack house,29,12,0.41379310344827586
ko!,sly,11,6,0.5454545454545454
nIMBUSXNZ^^,Ascended!,26,14,0.5384615384615384
nIMBUSXNZ^^,Bloom,17,8,0.47058823529411764
nIMBUSXNZ^^,Boydardi,21,12,0.5714285714285714
nIMBUSXNZ^^,Car-.-,5,2,0.4
nIMBUSXNZ^^,FBISSsosa,28,10,0.35714285714285715
nIMBUSXNZ^^,Faith,15,4,0.26666666666666666
nIMBUSXNZ^^,Fastmadcow,11,4,0.36363636363636365
nIMBUSXNZ^^,Geo,5,2,0.4
nIMBUSXNZ^^,Goose,22,12,0.5454545454545454
nIMBUSXNZ^^,Groovy,7,6,0.8571428571428571
nIMBUSXNZ^^,ItsDaaes,14,7,0.5
nIMBUSXNZ^^,JCISK,4,3,0.75
nIMBUSXNZ^^,Maples,20,9,0.45
nIMBUSXNZ^^,Mateo,14,6,0.42857142857142855
nIMBUSXNZ^^,MtnDru,15,6,0.4
nIMBUSXNZ^^,Siem,9,4,0.4444444444444444
nIMBUSXNZ^^,TSabin.,9,3,0.3333333333333333
nIMBUSXNZ^^,Trickter02,5,2,0.4
nIMBUSXNZ^^,Tylanz,12,5,0.4166666666666667
nIMBUSXNZ^^,Yoky,8,5,0.625
nIMBUSXNZ^^,bass!,12,6,0.5
nIMBUSXNZ^^,ko!,20,8,0.4
nIMBUSXNZ^^,shack house,36,21,0.5833333333333334
nIMBUSXNZ^^,sly,16,13,0.8125
nIMBUSXNZ^^,xMoNsTeRMaRiO,9,5,0.5555555555555556
